lottery,draw_number,draw_date,n1,n2,n3,n4,n5,n6,bonus,source,source_url,retrieved_at,content_hash
LOTO6,557,2011-05-23,6,18,23,32,38,43,37,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,558,2011-05-26,4,32,33,38,41,43,2,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,559,2011-05-30,2,7,16,25,26,43,3,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,560,2011-06-02,4,17,19,37,39,42,16,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,561,2011-06-06,4,14,30,35,40,41,29,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=loto6,2026-08-21T01:52:57.357756+00:00,e9d23b71f671b371e78c7e1ca9340c57feee37928e3e5d5220fd5e287b25f70b
LOTO6,562,2011-06-09,9,10,11,25,30,37,12,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=loto6,2026-08-21T01:52:57.357756+00:00,e9d23b71f671b371e78c7e1ca9340c57feee37928e3e5d5220fd5e287b25f70b
LOTO6,563,2011-06-13,4,5,26,28,34,38,8,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=loto6,2026-08-21T01:52:57.357756+00:00,e9d23b71f671b371e78c7e1ca9340c57feee37928e3e5d5220fd5e287b25f70b
LOTO6,564,2011-06-16,3,12,18,24,34,39,16,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=loto6,2026-08-21T01:52:57.357756+00:00,e9d23b71f671b371e78c7e1ca9340c57feee37928e3e5d5220fd5e287b25f70b
LOTO6,565,2011-06-20,3,6,8,21,28,32,10,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=loto6,2026-08-21T01:52:57.357756+00:00,e9d23b71f671b371e78c7e1ca9340c57feee37928e3e5d5220fd5e287b25f70b
LOTO6,566,2011-06-23,10,17,18,29,30,41,7,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=loto6,2026-08-21T01:52:57.357756+00:00,e9d23b71f671b371e78c7e1ca9340c57feee37928e3e5d5220fd5e287b25f70b
LOTO6,567,2011-06-27,7,13,17,23,28,34,25,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=loto6,2026-08-21T01:52:57.357756+00:00,e9d23b71f671b371e78c7e1ca9340c57feee37928e3e5d5220fd5e287b25f70b
LOTO6,568,2011-06-30,7,10,15,31,32,42,41,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=loto6,2026-08-21T01:52:57.357756+00:00,e9d23b71f671b371e78c7e1ca9340c57feee37928e3e5d5220fd5e287b25f70b
