lottery,draw_number,draw_date,n1,n2,n3,n4,n5,n6,bonus,source,source_url,retrieved_at,content_hash
MINI_LOTO,597,2011-01-18,2,13,16,17,19,,29,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,598,2011-01-25,4,15,21,26,30,,1,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,599,2011-02-01,3,7,10,11,29,,25,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,600,2011-02-08,1,2,3,4,22,,13,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,601,2011-02-15,10,14,15,16,24,,28,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,602,2011-02-22,3,14,18,22,25,,27,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,603,2011-03-01,4,5,26,28,30,,15,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,604,2011-03-08,2,11,13,22,25,,5,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,605,2011-03-15,5,6,13,19,28,,17,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,606,2011-03-22,9,20,23,30,31,,1,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,607,2011-03-29,7,8,12,18,30,,17,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,608,2011-04-05,13,19,21,25,29,,15,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,609,2011-04-12,3,14,21,26,30,,25,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,610,2011-04-19,3,8,14,17,30,,19,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,611,2011-04-26,12,18,21,25,30,,17,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,612,2011-05-03,11,18,24,27,30,,4,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,613,2011-05-10,2,16,17,20,28,,14,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,614,2011-05-17,7,16,23,25,30,,11,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,615,2011-05-24,4,12,13,19,20,,10,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,616,2011-05-31,7,18,21,27,28,,10,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,617,2011-06-07,3,9,16,19,28,,25,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,618,2011-06-14,10,12,14,22,31,,23,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,619,2011-06-21,4,7,14,20,30,,28,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,620,2011-06-28,2,14,21,25,31,,5,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=601_620&type=miniloto,2026-08-21T01:53:46.942036+00:00,b9333e08d02ab1f2a267039aa4a74679e4363231c8a942465131b62a2a9382e4
MINI_LOTO,621,2011-07-05,6,12,18,24,30,,9,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=621_640&type=miniloto,2026-08-21T01:53:46.188282+00:00,9fe2c925f4300694128c20c46c8852bf947cb474d7a1118a792f6f365b68c943
MINI_LOTO,622,2011-07-12,13,14,20,25,27,,19,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=621_640&type=miniloto,2026-08-21T01:53:46.188282+00:00,9fe2c925f4300694128c20c46c8852bf947cb474d7a1118a792f6f365b68c943
MINI_LOTO,623,2011-07-19,4,9,14,15,26,,29,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=621_640&type=miniloto,2026-08-21T01:53:46.188282+00:00,9fe2c925f4300694128c20c46c8852bf947cb474d7a1118a792f6f365b68c943
MINI_LOTO,624,2011-07-26,5,7,11,12,24,,4,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=621_640&type=miniloto,2026-08-21T01:53:46.188282+00:00,9fe2c925f4300694128c20c46c8852bf947cb474d7a1118a792f6f365b68c943
MINI_LOTO,625,2011-08-02,19,20,23,26,31,,6,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=621_640&type=miniloto,2026-08-21T01:53:46.188282+00:00,9fe2c925f4300694128c20c46c8852bf947cb474d7a1118a792f6f365b68c943
MINI_LOTO,626,2011-08-09,11,12,14,17,26,,23,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=621_640&type=miniloto,2026-08-21T01:53:46.188282+00:00,9fe2c925f4300694128c20c46c8852bf947cb474d7a1118a792f6f365b68c943
MINI_LOTO,627,2011-08-16,6,10,14,15,20,,19,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=621_640&type=miniloto,2026-08-21T01:53:46.188282+00:00,9fe2c925f4300694128c20c46c8852bf947cb474d7a1118a792f6f365b68c943
MINI_LOTO,628,2011-08-23,1,2,10,17,20,,18,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=621_640&type=miniloto,2026-08-21T01:53:46.188282+00:00,9fe2c925f4300694128c20c46c8852bf947cb474d7a1118a792f6f365b68c943
MINI_LOTO,629,2011-08-30,1,3,16,26,29,,31,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=621_640&type=miniloto,2026-08-21T01:53:46.188282+00:00,9fe2c925f4300694128c20c46c8852bf947cb474d7a1118a792f6f365b68c943
MINI_LOTO,630,2011-09-06,3,4,16,19,31,,14,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=621_640&type=miniloto,2026-08-21T01:53:46.188282+00:00,9fe2c925f4300694128c20c46c8852bf947cb474d7a1118a792f6f365b68c943
